IMEI,Make,Model,Colour,Year,Age,Gender
860305051123794,VOLKSWAGEN,VW 27X - POLO,WHITE / WIT,2018.0,38.0,Male
860305051124123,HYUNDAI,ATOS,SILVER / SILWER,2022.0,46.0,Male
860305051147801,FORD,RANGER,GREY / GRYS,2022.0,45.0,Male
860305051168823,SUZUKI,ERTIGA,WHITE / WIT,2023.0,64.0,Male
860305051198176,VOLKSWAGEN,VW 240-POLO VIVO,SILVER / SILWER,2011.0,40.0,Female
860305051227298,BMW,X3,SILVER,2012.0,52.0,Female
860305051237842,AUDI,A4 1.8T AMBITION (B8),SILVER,2008.0,59.0,Male
860305051253898,TATA,INDIGO 1.4 MANZA IGNIS,MAROON,2013.0,62.0,Female
860305051288266,FORD,FOCUS,GREY / GRYS,2013.0,41.0,Female
860305051308031,CHEVROLET,SPARK,GOLD,2022.0,34.0,Female
860305051545574,NISSAN,NP 200,WHITE / WIT,2018.0,50.0,Male
860305054934718,KIA,SONET,BLUE / BLOU,2023.0,74.0,Female
860305054934734,JEEP,GRAND CHEROKEE,BLACK / SWART,2013.0,57.0,Male
860305054946126,AUDI,AU 481-A4,WHITE / WIT,2019.0,33.0,Female
860305054952777,TOYOTA,AVANZA 1.5 SX,WHITE,2019.0,38.0,Male
860305054958998,FORD,RANGER 2.2 TDCi XL PLUS 4X4 P/U D/C,WHITE,2023.0,45.0,Male
860305054974698,SUZUKI,S-PRESSO 1.0 GL+ 5AMT,RED,2023.0,40.0,Female
860305054983244,OPEL,CORSA,WHITE / WIT,2006.0,67.0,Female
860305055001236,VOLKSWAGEN,POLO VIVO,SILVER,2018.0,44.0,Male
860305055025995,FORD,KA,RED / ROOI,2008.0,74.0,Female
860305055050209,TOYOTA,RAV4 2.0 GX,WHITE,2018.0,51.0,Male
860305055055752,TOYOTA,COROLLA QUEST 1.6,BLUE,2019.0,48.0,Male
860305056136965,VOLKSWAGEN,VW 241-POLO VIVO,WHITE / WIT,2011.0,43.0,Male
860305056138722,SUZUKI,S-PRESSO,SILVER / SILWER,2023.0,43.0,Female
860305056153788,VOLKSWAGEN,VW 240-POLO VIVO,WHITE,2014.0,49.0,Male
860305056165329,CHERY,TIGGO 4 PRO 1.5  URBAN,GREY,2023.0,33.0,Female
860305056166111,CITROEN,C3,WHITE,2019.0,53.0,Female
860305056168240,TOYOTA,AGYA,WHITE,2021.0,52.0,Female
860305056173661,VOLKSWAGEN,VW 370 - GOLF,WHITE / WIT,2018.0,29.0,Female
860305056174917,VOLKSWAGEN,VIVO,RED,2013.0,35.0,Female
860305056186895,TOYOTA,YARIS,WHITE / WIT,2013.0,50.0,Female
860305056205547,FORD,RANGER,MAROON,2016.0,46.0,Male
860305056219415,CHERY,TIGGO 4 PRO 1.5  URBAN   (2021 - 2022),RED,2022.0,43.0,Female
860305056237292,TOYOTA,COROLLA,SILVER / SILWER,2010.0,51.0,Female
860305056263504,HYUNDAI,ACCENT,SILVER / SILWER,2018.0,50.0,Female
860305056503446,SUZUKI,DZIRE 1.2 GL,WHITE,2022.0,36.0,Male
860305056504493,HONDA,CIVIC,WHITE / WIT,2011.0,56.0,Female
